"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
0.06755899999999999, 0.02416, 0.05, 5, 0, 2, 0, 0, 0
-0.005453, -0.012054, 0.05, 0, 1, 2, 0, 0, 0
0.010972, 0.00262, 0.05, 1, 1, 2, 0, 0, 0
0.021417, 0.010776, 0.05, 2, 1, 2, 0, 0, 0
0.032791, 0.017326, 0.05, 3, 1, 2, 0, 0, 0
0.045048, 0.022348, 0.05, 4, 1, 2, 0, 0, 0
0.06755899999999999, 0.02892, 0.05, 5, 1, 2, 0, 0, 0
-0.005453, -0.007294, 0.05, 0, 2, 2, 0, 0, 0
0.010972, 0.00738, 0.05, 1, 2, 2, 0, 0, 0
0.021417, 0.015536, 0.05, 2, 2, 2, 0, 0, 0
0.032791, 0.022086, 0.05, 3, 2, 2, 0, 0, 0
0.045048, 0.027108, 0.05, 4, 2, 2, 0, 0, 0
0.06755899999999999, 0.03368, 0.05, 5, 2, 2, 0, 0, 0
-0.005453, -0.002534, 0.05, 0, 3, 2, 0, 0, 0
0.010972, 0.01214, 0.05, 1, 3, 2, 0, 0, 0
0.021417, 0.020296, 0.05, 2, 3, 2, 0, 0, 0
0.032791, 0.026846, 0.05, 3, 3, 2, 0, 0, 0
0.045048, 0.031868, 0.05, 4, 3, 2, 0, 0, 0
0.06755899999999999, 0.03844, 0.05, 5, 3, 2, 0, 0, 0
-0.005453, 0.002226, 0.05, 0, 4, 2, 0, 0, 0
0.010972, 0.0169, 0.05, 1, 4, 2, 0, 0, 0
0.021417, 0.025056, 0.05, 2, 4, 2, 0, 0, 0
0.032791, 0.031606, 0.05, 3, 4, 2, 0, 0, 0
0.045048, 0.036628, 0.05, 4, 4, 2, 0, 0, 0
0.06755899999999999, 0.0432, 0.05, 5, 4, 2, 0, 0, 0
-0.005453, 0.006986, 0.05, 0, 5, 2, 0, 0, 0
0.010972, 0.02166, 0.05, 1, 5, 2, 0, 0, 0
0.021417, 0.029816, 0.05, 2, 5, 2, 0, 0, 0
0.032791, 0.036366, 0.05, 3, 5, 2, 0, 0, 0
0.045048, 0.041388, 0.05, 4, 5, 2, 0, 0, 0
0.06755899999999999, 0.04796, 0.05, 5, 5, 2, 0, 0, 0
